time_s,target_position_rad,target_velocity_rad_s,position_rad,velocity_rad_s,torque_nm
6.2620000000000005,0.36662767311128047,1.0680682696889536,0.35309797631187895,1.4987968544722237,-0.09839380484124322
6.263,0.36769393039050774,1.064444534843685,0.3545933064933999,1.4953301815209266,-0.09839380484124322
6.264,0.36875655867908724,1.0608102943605866,0.35608517346864244,1.4918669752425808,-0.09839380484124322
6.265000000000001,0.3698155474893057,1.0571655841081498,0.3575734895835238,1.4883161148813582,-0.10294966929900284
6.266,0.37087088636936977,1.0535104400581967,0.3590582583889043,1.4847688053804968,-0.10294966929900284
6.267,0.37192256490351205,1.0498448982855197,0.36053948343209347,1.4812250431891363,-0.10294966929900284
6.268,0.3729705727120911,1.0461689949675317,0.3620171682568534,1.477684824759967,-0.10294966929900284
6.269,0.37401489945169064,1.0424827663839233,0.36349131640340265,1.474148146549227,-0.10294966929900284
6.2700000000000005,0.3750555348152297,1.038786248916274,0.364961840799156,1.4705243957533531,-0.10748013246623181
6.271,0.37609246853205497,1.035079479047727,0.36642874506786427,1.4669042687082752,-0.10748013246623181
6.272,0.3771256903680517,1.0313624933625958,0.3678920328296545,1.4632877617902422,-0.10748013246623181
6.273,0.3781551901257351,1.0276353285460373,0.3693517077010336,1.4596748713791274,-0.10748013246623181
6.274,0.3791809576443606,1.0238980213836553,0.370807773294892,1.4560655938584237,-0.10748013246623181
6.275,0.38020298280001563,1.0201506087611663,0.3722601431416262,1.4523698467341868,-0.11198407651892997
6.276,0.3812212555057235,1.0163931276640246,0.37370882093698327,1.448677795357074,-0.11198407651892997
6.277,0.3822357657115459,1.012625615177043,0.3751538103730146,1.4449894360313382,-0.11198407651892997
6.2780000000000005,0.3832465034046755,1.0088481084840533,0.37659511513807953,1.4413047650649282,-0.11198407651892997
6.279,0.38425345860953825,1.0050606448675254,0.378032738916849,1.4376237787694848,-0.11198407651892997
6.28,0.38525662138789507,1.0012632617081878,0.3794665958640362,1.4338569471871894,-0.11646039017629697
6.281,0.386255981838932,0.997455996484688,0.38089668974647267,1.4300938824364762,-0.11646039017629697
6.282,0.3872515300993672,0.9936388867731876,0.3823230243272232,1.4263345807505137,-0.11646039017629697
6.283,0.38824325634353896,0.9898119702470275,0.38374560336558944,1.4225790383662371,-0.11646039017629697
6.284,0.3892311507835108,0.9859752846763242,0.3851644306171138,1.418827251524345,-0.11646039017629697
6.285,0.39021520366916446,0.9821288679276113,0.38657942088200714,1.4149902648933224,-0.12090796897491879
6.2860000000000005,0.3911954052882941,0.9782727579634732,0.38799057799725606,1.4111571152489306,-0.12090796897491879
6.287,0.39217174596670445,0.9744069928421633,0.38939790579601025,1.4073277987541832,-0.12090796897491879
6.288,0.3931442160683094,0.9705316107172135,0.3908014081075862,1.4035023115759306,-0.12090796897491879
6.289,0.39411280599521936,0.9666466498370897,0.39220108875747106,1.3996806498848564,-0.12090796897491879
6.29,0.395077506187845,0.9627521485447788,0.39359686321239523,1.395774454924146,-0.12532571554127545
6.291,0.39603830712498383,0.9588481452774406,0.3949887353785536,1.3918721661583964,-0.12532571554127545
6.292,0.39699519932391736,0.9549346785660153,0.39637670915823503,1.3879737796814124,-0.12532571554127545
6.293,0.3979481733405081,0.9510117870348311,0.39776078844982593,1.3840792915909055,-0.12532571554127545
